log_hhsize,region,fer_electrique,fer_charbon,bonbonne_gaz,ventilo,voiture,ordinateur,frigo,type_logement,statut_occup,eclairage,materiau_toit,nature_sol,source_eau_ss,materiau_mur,tx_promiscuite,dem_emp_rate,activ12m,age,educ_hi,sexe,mode_evac_ordure,type_sanitaire,partage_sanitaire,excrement_hors_concess,evac_eau_usees,milieu,pauvre,hhid,source
1.3862943611198906,14,2,2,2,2,2,2,2,2,1,5,3,3,2,2,1.0,12.5,2,51.0,1.0,2,3,2,2,2.0,4,1.0,0,58908.0,0
2.3978952727983707,14,2,2,2,2,2,2,2,2,1,5,3,3,2,2,2.2,36.36363636363637,2,37.0,1.0,1,5,2,2,2.0,4,1.0,1,58906.0,0
1.0986122886681098,14,2,2,1,2,2,2,2,2,2,1,3,3,2,2,0.75,33.33333333333333,2,51.0,1.0,2,3,2,2,2.0,4,1.0,1,58905.0,0
2.302585092994046,14,2,1,1,2,2,2,2,2,1,1,3,2,1,1,1.6666666666666667,30.0,2,51.0,4.0,1,5,1,2,2.0,4,1.0,0,58904.0,0
1.6094379124341003,14,1,2,1,1,2,2,2,2,2,1,3,2,1,1,0.8333333333333334,16.666666666666664,2,52.0,1.0,2,5,1,2,1.0,1,1.0,0,58903.0,0
2.833213344056216,14,2,1,1,1,2,2,2,2,3,1,3,2,1,1,2.125,17.647058823529413,1,76.0,1.0,1,3,2,2,2.0,4,1.0,1,58902.0,0
2.4849066497880004,14,2,2,2,2,2,2,2,2,1,1,3,2,1,4,3.0,33.33333333333333,1,63.0,1.0,2,5,1,2,2.0,4,1.0,1,58901.0,0
1.791759469228055,14,2,1,2,2,2,2,2,2,2,1,3,2,2,2,2.0,33.33333333333333,2,52.0,1.0,2,3,2,2,4.0,4,1.0,1,58812.0,0
1.3862943611198906,14,2,2,2,2,2,2,2,2,2,4,3,3,2,4,1.3333333333333333,40.0,2,81.0,1.0,1,5,2,2,,4,1.0,1,58811.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,1,3,3,2,4,1.0,20.0,2,58.0,1.0,2,3,2,2,5.0,4,1.0,0,58809.0,0
2.0794415416798357,14,2,2,2,2,2,2,2,2,2,1,3,3,2,4,2.0,37.5,2,51.0,1.0,1,1,2,1,4.0,4,1.0,0,58808.0,0
1.6094379124341003,14,2,1,2,2,2,2,2,2,2,1,3,2,1,2,1.25,20.0,1,64.0,7.0,1,3,2,2,2.0,4,1.0,0,58807.0,0
2.3978952727983707,14,2,2,1,2,2,2,2,2,1,1,3,3,2,2,1.375,45.45454545454545,2,50.0,3.0,1,3,2,2,,3,1.0,1,58806.0,0
0.6931471805599453,14,2,2,1,1,2,1,1,2,4,1,3,3,1,4,2.0,50.0,2,36.0,9.0,1,3,1,1,1.0,4,1.0,0,58805.0,0
3.1780538303479458,14,2,1,2,2,2,2,2,2,2,1,3,2,1,2,2.6666666666666665,29.166666666666668,2,48.0,1.0,1,3,2,2,,3,1.0,1,58804.0,0
0.0,14,2,2,1,1,2,2,2,2,4,1,3,2,3,1,1.0,100.0,2,37.0,1.0,1,3,2,1,1.0,4,1.0,0,58803.0,0
2.1972245773362196,14,2,1,1,1,2,2,2,2,2,1,3,2,1,1,1.8,20.0,2,47.0,6.0,1,4,2,2,2.0,3,1.0,0,58802.0,0
1.0986122886681098,14,2,2,2,2,2,2,2,2,3,1,3,2,1,2,0.75,33.33333333333333,2,35.0,3.0,1,2,2,1,2.0,4,1.0,0,58011.0,0
2.4849066497880004,14,2,1,2,1,2,2,2,2,2,1,3,2,1,2,1.7142857142857142,0.0,2,69.0,1.0,1,4,2,2,4.0,4,1.0,1,58010.0,0
1.3862943611198906,14,2,2,2,2,2,2,2,2,2,1,3,2,1,1,1.0,25.0,1,47.0,1.0,1,5,2,2,4.0,4,1.0,1,58009.0,0
1.0986122886681098,14,2,1,1,1,2,2,1,2,2,1,1,2,1,1,0.25,33.33333333333333,1,71.0,1.0,2,5,2,2,2.0,1,1.0,0,58008.0,0
2.833213344056216,14,2,2,1,1,2,2,2,2,2,1,3,2,1,1,1.4166666666666667,0.0,1,53.0,1.0,1,1,2,2,4.0,4,1.0,1,58006.0,0
2.70805020110221,14,2,2,1,1,2,2,1,1,2,1,1,1,1,1,0.8333333333333334,0.0,1,42.0,1.0,2,5,1,2,1.0,1,1.0,0,58004.0,0
1.3862943611198906,14,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4.0,25.0,2,28.0,1.0,2,5,2,1,4.0,4,1.0,0,58003.0,0
2.4849066497880004,14,2,2,2,1,2,2,2,2,2,1,3,3,1,4,1.3333333333333333,0.0,1,46.0,1.0,1,5,2,2,2.0,3,1.0,1,58002.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,4,4,3,2,2,1,1.25,0.0,2,69.0,1.0,1,5,2,2,2.0,4,1.0,1,57911.0,0
2.4849066497880004,14,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1.5,25.0,2,52.0,3.0,1,3,2,2,2.0,4,1.0,1,57910.0,0
2.8903717578961645,14,2,2,2,1,2,2,2,2,2,1,3,1,2,1,2.25,22.22222222222222,2,40.0,1.0,1,2,2,2,4.0,3,1.0,1,57909.0,0
0.0,14,2,2,2,2,2,2,2,2,4,3,3,3,5,4,0.5,100.0,2,65.0,1.0,1,2,2,2,2.0,4,1.0,0,57908.0,0
2.3978952727983707,14,2,1,1,1,2,2,1,2,2,1,3,2,1,2,1.8333333333333333,27.27272727272727,1,81.0,1.0,2,3,2,2,2.0,4,1.0,1,57907.0,0
2.70805020110221,14,2,2,2,2,2,2,2,2,2,1,3,3,1,4,1.5,13.333333333333334,1,60.0,1.0,1,2,2,2,,4,1.0,1,57906.0,0
2.772588722239781,14,2,2,1,2,2,2,1,2,2,1,3,1,2,1,2.0,18.75,2,37.0,1.0,1,3,1,2,2.0,4,1.0,1,57905.0,0
1.3862943611198906,14,2,2,1,1,2,2,2,2,1,1,3,2,1,1,2.0,50.0,2,40.0,6.0,1,3,1,1,2.0,4,1.0,0,57904.0,0
2.995732273553991,14,2,2,2,1,2,2,2,2,2,1,3,3,2,1,1.25,25.0,1,60.0,1.0,1,2,2,2,4.0,4,1.0,1,57903.0,0
2.3978952727983707,14,2,1,1,1,2,2,1,2,2,1,3,2,2,2,1.2222222222222223,27.27272727272727,1,34.0,1.0,2,3,1,2,1.0,4,1.0,0,57901.0,0
2.302585092994046,14,2,2,1,2,2,2,1,2,2,1,3,2,3,1,1.4285714285714286,50.0,1,58.0,1.0,1,5,2,2,,4,1.0,1,57812.0,0
2.3978952727983707,14,2,1,1,2,2,2,2,2,2,1,3,2,2,2,2.75,45.45454545454545,2,42.0,1.0,1,5,2,2,,4,1.0,1,57811.0,0
3.258096538021482,14,2,1,1,2,2,2,2,2,2,1,3,2,1,2,2.3636363636363638,26.923076923076923,2,58.0,1.0,1,5,2,2,,4,1.0,1,57810.0,0
2.5649493574615367,14,2,1,1,2,2,2,2,2,2,1,3,2,1,1,2.1666666666666665,46.15384615384615,2,69.0,3.0,1,5,1,1,,4,1.0,1,57809.0,0
0.6931471805599453,14,2,1,1,1,1,2,1,2,2,1,3,1,1,4,0.5,50.0,2,66.0,9.0,1,5,1,2,2.0,1,1.0,0,57808.0,0
3.1354942159291497,14,2,2,1,2,2,2,1,2,2,1,3,2,1,1,1.6428571428571428,50.0,2,57.0,1.0,1,5,1,2,1.0,4,1.0,1,57807.0,0
2.0794415416798357,14,2,2,1,2,2,2,2,2,4,1,3,2,1,2,4.0,25.0,2,39.0,1.0,1,5,2,2,,4,1.0,0,57806.0,0
2.70805020110221,14,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2.142857142857143,13.333333333333334,2,66.0,3.0,1,5,2,2,1.0,4,1.0,0,57804.0,0
0.6931471805599453,14,2,2,1,1,2,2,2,2,4,1,3,2,1,2,2.0,100.0,2,25.0,3.0,1,3,2,1,,4,1.0,0,57803.0,0
2.5649493574615367,14,2,2,1,1,2,2,2,2,2,1,3,2,1,2,3.25,15.384615384615385,2,37.0,1.0,1,4,2,1,,3,1.0,1,57801.0,0
2.0794415416798357,14,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2.0,25.0,2,41.0,9.0,1,5,1,1,2.0,4,1.0,1,57715.0,0
1.9459101490553132,14,2,1,1,1,2,1,2,2,2,1,3,3,3,1,1.4,42.857142857142854,2,53.0,4.0,2,2,2,2,1.0,4,1.0,0,57714.0,0
1.9459101490553132,14,2,2,2,1,2,2,2,2,2,1,3,3,1,1,1.4,14.285714285714285,2,52.0,3.0,1,2,2,2,4.0,4,1.0,0,57713.0,0
1.6094379124341003,14,2,2,1,2,2,2,2,2,2,3,3,3,2,2,1.25,20.0,2,50.0,1.0,1,5,2,2,2.0,4,1.0,1,57712.0,0
1.9459101490553132,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,2.3333333333333335,42.857142857142854,2,35.0,3.0,1,5,2,2,2.0,4,1.0,1,57711.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,4,3,3,2,4,1.6666666666666667,20.0,2,53.0,1.0,1,2,2,2,,4,1.0,0,57710.0,0
1.6094379124341003,14,2,1,2,2,2,2,2,2,2,1,3,3,3,4,1.25,60.0,2,50.0,1.0,1,2,2,2,4.0,4,1.0,0,57708.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,4,3,2,2,2,1.6666666666666667,40.0,2,55.0,1.0,1,3,2,2,2.0,4,1.0,1,57707.0,0
2.3978952727983707,14,2,2,1,2,2,2,2,2,2,1,3,1,1,1,1.5714285714285714,0.0,1,52.0,1.0,2,5,1,2,2.0,4,1.0,1,57706.0,0
1.6094379124341003,14,2,2,1,2,2,2,2,2,2,1,3,2,2,2,1.0,0.0,1,62.0,1.0,1,3,2,2,2.0,4,1.0,0,57704.0,0
1.3862943611198906,14,2,2,2,2,2,2,2,2,2,4,3,3,2,2,2.0,25.0,2,39.0,1.0,1,5,2,2,2.0,4,1.0,1,57701.0,0
2.833213344056216,14,2,2,1,2,2,2,2,2,2,4,3,2,2,2,2.125,23.52941176470588,2,49.0,3.0,1,3,2,2,2.0,4,1.0,1,57114.0,0
2.6390573296152584,14,2,2,1,2,2,2,2,2,2,3,3,2,2,1,2.3333333333333335,53.333333333333336,2,33.0,1.0,1,5,2,2,,4,1.0,1,57113.0,0
1.791759469228055,14,2,2,1,2,2,2,2,2,2,3,3,2,2,2,1.2,25.0,2,37.0,1.0,2,5,2,2,,4,1.0,1,57110.0,0
1.9459101490553132,14,2,2,1,2,2,2,2,2,2,3,3,3,3,2,1.1666666666666667,42.857142857142854,2,61.0,1.0,1,5,2,2,,4,1.0,1,57109.0,0
1.9459101490553132,14,2,2,1,2,2,2,2,2,2,4,3,2,2,2,1.4,28.57142857142857,2,51.0,6.0,1,5,2,2,,3,1.0,0,57108.0,0
2.6390573296152584,14,2,2,2,2,2,2,2,2,1,4,3,3,2,2,2.3333333333333335,14.285714285714285,2,39.0,1.0,1,5,2,1,,4,1.0,1,57107.0,0
2.995732273553991,14,2,1,1,2,2,2,2,2,2,3,3,2,3,2,1.4285714285714286,10.0,2,42.0,3.0,1,5,2,2,,3,1.0,1,57106.0,0
2.0794415416798357,14,2,1,2,2,2,2,2,2,2,3,3,3,3,2,1.3333333333333333,25.0,2,35.0,6.0,1,5,2,2,,3,1.0,0,57103.0,0
2.8903717578961645,14,2,1,2,2,2,2,2,2,2,3,1,2,3,1,1.8,11.11111111111111,2,65.0,3.0,1,5,2,2,3.0,4,1.0,1,57102.0,0
2.3978952727983707,14,2,1,2,2,2,2,2,2,2,3,3,2,2,1,1.5714285714285714,8.333333333333332,2,56.0,1.0,2,5,2,1,,4,1.0,1,57101.0,0
1.3862943611198906,14,2,1,2,2,2,2,2,3,2,1,3,3,1,3,1.0,75.0,2,75.0,1.0,1,5,2,2,,2,1.0,0,57013.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,1,3,2,1,2,1.6666666666666667,20.0,1,70.0,1.0,2,5,2,2,2.0,4,1.0,0,57011.0,0
1.9459101490553132,14,2,1,1,1,2,2,1,2,2,1,3,2,1,2,1.0,14.285714285714285,1,70.0,1.0,2,5,2,2,2.0,4,1.0,0,57009.0,0
2.6390573296152584,14,2,1,1,1,2,2,2,2,2,1,3,2,1,2,2.8,25.0,2,58.0,3.0,1,3,2,2,2.0,4,1.0,1,57007.0,0
2.0794415416798357,14,2,2,2,1,2,2,1,2,2,1,3,2,1,1,0.8888888888888888,37.5,2,41.0,1.0,1,5,2,2,2.0,4,1.0,0,57005.0,0
2.4849066497880004,14,2,2,2,2,2,2,2,2,2,1,3,2,3,4,1.7142857142857142,15.384615384615385,2,37.0,3.0,1,5,2,2,,2,1.0,1,57004.0,0
0.0,14,2,2,1,2,2,2,2,2,2,1,3,2,1,2,1.0,100.0,2,62.0,4.0,1,3,2,2,2.0,4,1.0,0,57003.0,0
2.5649493574615367,14,2,1,2,2,2,2,2,2,3,1,3,2,1,1,2.6,23.52941176470588,2,54.0,1.0,1,3,1,1,2.0,4,1.0,1,57002.0,0
2.1972245773362196,14,2,2,1,1,2,2,1,2,2,1,3,2,3,2,1.5,22.22222222222222,2,74.0,1.0,2,3,2,2,2.0,4,1.0,1,57001.0,0
2.302585092994046,14,2,1,1,2,2,2,2,2,2,1,3,2,1,2,1.4285714285714286,20.0,2,72.0,1.0,1,3,2,2,,3,1.0,0,56914.0,0
1.9459101490553132,14,2,2,1,2,2,2,2,2,3,3,3,2,1,4,3.5,14.285714285714285,2,53.0,6.0,1,5,2,1,,4,1.0,1,56913.0,0
0.6931471805599453,14,2,1,1,1,2,2,2,2,4,1,3,2,1,2,1.0,50.0,2,28.0,1.0,1,5,2,1,,4,1.0,0,56912.0,0
2.1972245773362196,14,2,2,2,2,2,2,1,2,2,1,3,2,2,1,1.8,44.44444444444444,2,46.0,4.0,1,5,2,2,2.0,4,1.0,0,56911.0,0
2.0794415416798357,14,2,1,1,2,2,2,1,2,2,1,3,2,1,4,2.0,12.5,2,61.0,1.0,2,5,2,2,,4,1.0,0,56910.0,0
1.9459101490553132,14,2,1,1,2,2,2,1,2,1,1,3,2,1,4,7.0,14.285714285714285,2,46.0,6.0,1,5,3,2,,3,1.0,0,56909.0,0
2.772588722239781,14,2,1,1,1,2,1,1,2,2,1,3,1,1,4,1.7777777777777777,31.25,2,47.0,6.0,1,5,2,2,2.0,4,1.0,0,56908.0,0
2.6390573296152584,14,2,1,1,2,2,1,1,2,2,1,3,2,1,1,1.0,35.714285714285715,2,57.0,6.0,1,5,1,1,2.0,4,1.0,1,56907.0,0
1.791759469228055,14,2,2,1,2,2,2,1,2,1,1,3,2,1,2,3.0,16.666666666666664,2,71.0,1.0,2,5,1,2,,4,1.0,0,56906.0,0
2.302585092994046,14,1,1,1,1,2,1,1,2,3,1,3,1,1,1,0.7142857142857143,30.0,2,48.0,8.0,1,2,2,1,,4,1.0,0,56904.0,0
1.6094379124341003,14,2,2,1,1,2,2,2,2,3,1,3,2,1,4,1.0,40.0,2,53.0,6.0,1,5,2,2,,3,1.0,0,56902.0,0
2.70805020110221,14,2,1,1,1,2,2,1,2,2,1,3,2,1,1,1.5,26.666666666666668,1,82.0,9.0,1,2,2,2,2.0,4,1.0,0,56814.0,0
2.4849066497880004,14,2,1,1,1,2,2,1,2,2,1,3,2,1,1,2.0,8.333333333333332,2,40.0,7.0,1,2,1,2,2.0,2,1.0,0,56813.0,0
1.3862943611198906,14,2,1,1,2,2,2,2,2,2,1,3,2,1,2,2.0,50.0,2,61.0,6.0,1,2,1,1,5.0,4,1.0,0,56812.0,0
2.0794415416798357,14,1,1,2,1,2,2,1,2,1,1,3,2,1,2,2.6666666666666665,37.5,2,39.0,3.0,1,2,2,1,5.0,4,1.0,0,56810.0,0
2.3978952727983707,14,2,1,1,1,2,2,1,2,2,1,3,1,1,2,0.5789473684210527,27.27272727272727,1,71.0,1.0,2,2,1,2,1.0,4,1.0,1,56809.0,0
0.6931471805599453,14,2,2,1,1,2,2,1,2,4,1,3,2,1,2,1.0,100.0,2,36.0,3.0,1,2,1,2,5.0,1,1.0,0,56807.0,0
0.0,14,2,2,1,2,2,1,1,1,4,1,1,1,1,1,1.0,100.0,2,35.0,9.0,1,2,1,2,2.0,1,1.0,0,56805.0,0
2.1972245773362196,14,2,2,2,2,2,2,1,2,2,1,3,2,1,1,1.0,22.22222222222222,2,49.0,3.0,1,2,1,2,1.0,4,1.0,1,56803.0,0
2.833213344056216,14,2,1,2,1,2,2,1,2,2,1,3,1,1,1,2.125,47.05882352941176,2,52.0,1.0,2,2,2,2,2.0,2,1.0,0,56802.0,0
2.302585092994046,14,2,1,1,2,2,2,2,2,2,1,3,2,1,1,1.6666666666666667,20.0,2,40.0,9.0,1,5,1,2,,4,1.0,0,56713.0,0
2.5649493574615367,14,2,2,2,2,2,2,2,2,3,1,3,2,3,2,2.1666666666666665,23.076923076923077,2,39.0,3.0,1,5,2,2,,5,1.0,1,56712.0,0
2.5649493574615367,14,2,2,2,2,2,2,2,2,2,1,3,3,2,4,1.8571428571428572,23.076923076923077,1,76.0,3.0,1,5,2,2,,4,1.0,1,56711.0,0
2.70805020110221,14,2,1,2,2,2,2,2,2,2,1,3,2,2,1,2.5,33.33333333333333,2,69.0,1.0,1,5,2,2,,4,1.0,1,56710.0,0
2.302585092994046,14,1,1,1,1,2,2,1,2,4,1,3,2,1,2,2.5,20.0,2,42.0,3.0,2,3,2,1,,3,1.0,0,56708.0,0
1.791759469228055,14,2,1,1,2,2,2,2,2,2,1,3,2,3,2,0.6666666666666666,33.33333333333333,2,71.0,1.0,2,5,2,2,,4,1.0,0,56706.0,0
1.6094379124341003,14,2,2,2,2,2,2,2,2,2,1,3,2,2,1,0.8333333333333334,60.0,2,54.0,1.0,2,5,2,2,,4,1.0,1,56704.0,0
2.1972245773362196,14,2,2,2,1,2,2,2,2,2,1,3,2,2,2,1.2857142857142858,33.33333333333333,2,65.0,1.0,1,4,2,2,,4,1.0,1,56702.0,0
1.9459101490553132,14,2,2,1,1,2,2,1,2,2,1,3,2,3,4,1.4,28.57142857142857,2,44.0,3.0,1,3,2,2,,3,1.0,0,56701.0,0
2.5649493574615367,14,2,1,1,2,2,2,1,2,2,1,3,2,1,2,2.6,14.285714285714285,1,64.0,3.0,2,2,2,2,2.0,4,1.0,0,56615.0,0
1.791759469228055,14,2,1,1,1,2,2,1,2,2,1,3,2,1,1,2.0,16.666666666666664,2,50.0,6.0,1,3,1,2,1.0,4,1.0,0,56614.0,0
1.9459101490553132,14,2,1,1,1,1,1,1,2,4,1,3,1,1,1,1.1666666666666667,42.857142857142854,2,44.0,8.0,1,2,2,2,1.0,1,1.0,0,56613.0,0
2.6390573296152584,14,2,1,2,1,2,2,2,2,2,1,3,2,2,1,2.0,21.428571428571427,1,75.0,1.0,2,2,2,2,2.0,3,1.0,0,56612.0,0
0.6931471805599453,14,1,2,1,1,2,1,1,2,4,1,3,1,1,1,2.0,50.0,2,35.0,9.0,2,2,1,2,5.0,1,1.0,0,56610.0,0
2.5649493574615367,14,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1.0833333333333333,30.76923076923077,1,78.0,9.0,2,2,2,2,1.0,1,1.0,0,56609.0,0
2.6390573296152584,14,2,1,1,1,2,2,1,2,2,1,3,1,1,1,2.0,21.428571428571427,2,42.0,9.0,1,2,1,2,1.0,1,1.0,0,56608.0,0
1.6094379124341003,14,2,1,1,1,2,2,1,2,2,1,3,2,1,2,1.6666666666666667,60.0,1,67.0,9.0,1,2,1,2,1.0,4,1.0,0,56607.0,0
2.6390573296152584,14,2,1,1,1,2,2,1,2,2,1,3,1,1,1,1.75,21.428571428571427,2,36.0,6.0,1,2,1,2,1.0,4,1.0,0,56605.0,0
2.302585092994046,14,2,2,1,1,2,2,2,2,1,1,3,2,1,2,2.0,20.0,2,64.0,4.0,1,3,1,1,5.0,4,1.0,1,56604.0,0
1.791759469228055,14,2,1,1,2,2,1,1,2,2,1,3,1,1,1,1.2,28.57142857142857,2,56.0,3.0,2,2,1,2,5.0,3,1.0,0,56603.0,0
2.3978952727983707,14,2,1,2,1,2,2,2,2,2,1,3,2,1,1,3.6666666666666665,16.666666666666664,1,64.0,1.0,2,2,2,2,2.0,4,1.0,1,56602.0,0
1.6094379124341003,14,2,1,1,1,2,2,2,2,4,1,3,2,1,1,2.5,20.0,2,36.0,8.0,1,2,2,1,4.0,4,1.0,0,56514.0,0
1.791759469228055,14,2,1,2,2,2,2,1,2,2,1,3,2,1,1,1.0,0.0,1,75.0,1.0,2,2,1,2,,4,1.0,0,56513.0,0
2.1972245773362196,14,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1.5,11.11111111111111,1,74.0,9.0,1,2,1,2,2.0,4,1.0,0,56512.0,0
1.3862943611198906,14,2,2,1,2,2,2,2,2,2,1,3,2,1,1,1.0,25.0,2,65.0,1.0,2,2,1,2,,4,1.0,0,56511.0,0
2.302585092994046,14,2,1,1,1,2,2,2,2,2,1,3,3,1,2,2.0,40.0,2,56.0,1.0,2,2,2,2,2.0,3,1.0,1,56510.0,0
2.4849066497880004,14,2,2,1,1,2,2,2,2,2,1,3,2,1,1,3.0,25.0,2,38.0,9.0,1,2,2,2,2.0,3,1.0,0,56509.0,0
2.1972245773362196,14,2,1,1,1,2,2,1,2,2,1,3,1,1,1,1.8,44.44444444444444,2,60.0,1.0,2,2,2,2,4.0,4,1.0,0,56508.0,0
